Country,Plant Name,Latitude,Longitude,Location Accuracy,Plant Type,Within_60_Miles
United States,Harbor Beach Power Plant,43.851828,-82.643631,exact,Coal,False
United States,Hardin Generating Station,45.764342,-107.598292,exact,Coal,False
United States,Harllee Branch Generating Plant,33.194486,-83.2996,exact,Coal,False
United States,Harllee Branch Generating Plant,33.194486,-83.2996,exact,Coal,False
United States,Harllee Branch Generating Plant,33.194486,-83.2996,exact,Coal,False
United States,Harllee Branch Generating Plant,33.194486,-83.2996,exact,Coal,False
United States,Harrington Station,35.299289,-101.747361,exact,Coal,False
United States,Harrington Station,35.299289,-101.747361,exact,Coal,False
United States,Harrington Station,35.299289,-101.747361,exact,Coal,False
United States,Harrison power station,39.385428,-80.333397,exact,Coal,False
United States,Harrison power station,39.385428,-80.333397,exact,Coal,False
United States,Harrison power station,39.385428,-80.333397,exact,Coal,False
United States,Havana power station,40.281458,-90.079039,exact,Coal,False
United States,Hayden Station,40.487122,-107.185669,exact,Coal,False
United States,Hayden Station,40.487122,-107.185669,exact,Coal,False
United States,Healy Power Plant,63.854431,-148.94815,exact,Coal,False
United States,Henderson One power station,37.8425,-87.59111,exact,Coal,False
United States,Henderson Station,37.646678,-87.501403,exact,Coal,False
United States,Henderson Station,37.646678,-87.501403,exact,Coal,False
United States,Hennepin power station,41.3032,-89.315361,exact,Coal,False
United States,Hennepin power station,41.3032,-89.315361,exact,Coal,False
United States,Heskett Station,46.866825,-100.883781,exact,Coal,False
United States,Heskett Station,46.866825,-100.883781,exact,Coal,False
United States,Holcomb Station,37.9307889,-100.9724694,exact,Coal,False
United States,Holcomb Station,37.926982,-100.992659,exact,Coal,False
United States,Hoot Lake Plant,46.290364,-96.043044,exact,Coal,False
United States,Hoot Lake Plant,46.290364,-96.043044,exact,Coal,False
United States,Hugo power station,34.014675,-95.3209667,exact,Coal,False
United States,Hugo power station,34.014828,-95.3023708,approximate,Coal,False
United States,Hunter Power Plant,39.173339,-111.028911,exact,Coal,False
United States,Hunter Power Plant,39.173339,-111.028911,exact,Coal,False
United States,Hunter Power Plant,39.173339,-111.028911,exact,Coal,False
United States,Huntington Power Plant,39.378786,-111.079314,exact,Coal,False
United States,Huntington Power Plant,39.378786,-111.079314,exact,Coal,False
United States,Hutsonville power station,39.13165,-87.6588,exact,Coal,False
United States,Hutsonville power station,39.13165,-87.6588,exact,Coal,False
United States,Independence Steam Station,35.67815,-91.407736,exact,Coal,False
United States,Independence Steam Station,35.67815,-91.407736,exact,Coal,False
United States,Indian River power station,38.5852,-75.2334,exact,Coal,False
United States,Indian River power station,38.5852,-75.2334,exact,Coal,False
United States,Indian River power station,38.5852,-75.2334,exact,Coal,False
United States,Indian River power station,38.5852,-75.2334,exact,Coal,False
United States,Intermountain power station,39.51095,-112.580122,exact,Coal,False
United States,Intermountain power station,39.51095,-112.580122,exact,Coal,False
United States,International Paper Savannah Mill,32.102123,-81.126383,exact,Coal,False
United States,International Paper Savannah Mill,32.102123,-81.126383,exact,Coal,False
United States,James River power station,37.108339,-93.260081,exact,Coal,False
United States,James River power station,37.108339,-93.260081,exact,Coal,False
United States,James River power station,37.108339,-93.260081,exact,Coal,False
United States,Jeffrey Energy Center,39.286842,-96.116131,exact,Coal,False
United States,Jeffrey Energy Center,39.286842,-96.116131,exact,Coal,False
United States,Jeffrey Energy Center,39.286842,-96.116131,exact,Coal,False
United States,Jim Bridger Steam Plant,41.738081,-108.786556,exact,Coal,False
United States,Jim Bridger Steam Plant,41.738081,-108.786556,exact,Coal,False
